"","city_name","population","year","river_name","xmin","ymin","xmax","ymax"
"1","Wien",1766746,2014,"Donau",16.181831,48.1179069,16.5775132,48.3226679
"2","Graz",269997,2014,"Mur",15.3497141,47.0118864,15.5342006,47.1345
"3","Bruxelles",1253178,2023,"Senne - Zenne",4.3140021,50.7964079,4.4370711,50.9139045
"4","Antwerpen",541122,2023,"Schelde",4.2175769,51.1432868,4.5090543,51.3776356
"5","Gent",268335,2023,"Leie",3.5797616,50.9795422,3.8493413,51.188891
"6","Liège",408069,2023,"La Meuse",5.5233883,50.5610182,5.675257,50.6881981
"7","Plovdiv",343070,2022,"Марица",24.5899297,41.9818541,24.9099297,42.3018541
"8","Varna",332686,2022,"Eisack - Isarco",11.4848307,46.7063907,11.6583255,46.782008
"9","Zurich",704537,2022,"Limmat",8.4480061,47.3202187,8.6254413,47.4346662
"10","Geneva",419185,2022,"L'Arve",6.1102411,46.1777724,6.1758527,46.231885
"11","Basel",346276,2022,"Rhein",7.5546608,47.519294,7.6341406,47.5898969
"12","Lausanne",258799,2022,"Le Talent",6.5843492,46.4548726,6.7208137,46.6025773
"13","Praha",1275406,2022,"Vltava",14.2244355,49.9419006,14.7067867,50.1774301
"14","Brno",379466,2022,"Svratka",16.4279898,49.1098796,16.7278346,49.2943708
"15","Ostrava",279791,2022,"Odra",18.098411,49.7257571,18.3762911,49.9137759
"16","Berlin",3755251,2023,"Havel",13.088345,52.3382448,13.7611609,52.6755087
"17","Hamburg",1892122,2023,"Bille",9.7301155,53.3951118,10.3252805,53.7394378
"18","München",1512491,2023,"Würm",11.360777,48.0616244,11.7229099,48.2481162
"19","Köln",1084831,2023,"Rhein",6.7725303,50.8304399,7.162028,51.0849743
"20","Frankfurt am Main",773068,2023,"Nidda",8.4727605,50.0153529,8.8004049,50.2271424
"21","Essen",584580,2023,"Ruhr",6.8943442,51.3475714,7.13765,51.5342269
"22","Stuttgart",632865,2023,"Neckar",9.0386007,48.6920188,9.3160228,48.8663994
"23","Leipzig",616093,2023,"Weiße Elster",12.2366519,51.2381704,12.5425373,51.4481145
"24","Dresden",563311,2023,"Elbe",13.5793237,50.974937,13.9660626,51.1777202
"25","Dortmund",593317,2023,"Emscher",7.302387,51.4155255,7.638157,51.6000415
"26","Düsseldorf",629047,2023,"Rhein",6.6888147,51.1243747,6.9399324,51.3524872
"27","Bremen",569396,2023,"Weser",8.4815929,53.0110367,8.9907318,53.2288943
"28","Hannover",545045,2023,"Leine",9.60443,52.3051373,9.9184259,52.4543349
"29","Nürnberg",523026,2023,"Pegnitz",10.9887326,49.3314339,11.2135139,49.5407534
"30","Bochum",365742,2023,"Ruhr",7.1020817,51.4105176,7.3493347,51.5313721
"31","Bielefeld",338332,2023,"Lutter",8.3778169,51.9148708,8.6633538,52.114773
"32","Wiesbaden",283083,2023,"Rhein",8.1106718,49.9932374,8.3861621,50.1518098
"33","Augsburg",301033,2023,"Lech",10.7633615,48.2581444,10.9593328,48.4586541
"34","Bonn",336465,2023,"Rhein",7.0225354,50.6326909,7.2106794,50.7744233
"35","Karlsruhe",308707,2023,"Alb",8.2773142,48.9404699,8.5417299,49.0912838
"36","Mönchengladbach",268465,2023,"Niers",6.2910981,51.085784,6.5366448,51.2478874
"37","Duisburg",502211,2023,"Rhein",6.6256311,51.3333827,6.8302507,51.5600691
"38","Mannheim",315554,2023,"Rhein",8.4141602,49.4103401,8.5899902,49.5904701
"39","Gelsenkirchen",263000,2023,"Emscher",6.9874995,51.4808012,7.1445583,51.6315932
"40","Münster",320946,2023,"Werse",7.4737853,51.8401448,7.7743634,52.0600251
"41","Braunschweig",251804,2023,"Oker",10.4124522,52.1867942,10.6433892,52.3573831
"42","Aachen",252136,2023,"Inde",5.9748624,50.6621373,6.2181081,50.8572449
"43","Wuppertal",358876,2023,"Wupper",7.0140725,51.1657181,7.31343,51.3180951
"44","København",559440,2013,"Mølleåen",12.4100724,55.5267243,12.7300724,55.8467243
